element_library,object_kind,name,icon_key,icon_path,notes
Miranda,SubComponent,RandomGenerator,generator,generator.png,
Miranda,SubComponent,ReverseSingleStreamGenerator,generator,generator.png,
Miranda,SubComponent,SingleStreamGenerator,generator,generator.png,
Miranda,SubComponent,SPMVGenerator,generator,generator.png,
Miranda,SubComponent,Stencil3DBenchGenerator,generator,generator.png,
Miranda,SubComponent,STREAMBenchGeneratorCustomCmd,generator,generator.png,
Miranda,SubComponent,STREAMBenchGnerator,generator,generator.png,
opal,SubComponent,MemoryManagerOpal,mem_alloc,mem_alloc.png,
opal,Component,opal,mmu,mmu.png,
opal,SubComponent,OpalMemNic,RDMA_NIC,RDMA_NIC.png,
opal,SubComponent,PageFaultHandler,pagefault_handler,pagefault_handler.png,
prospero,SubComponent,ProsperoBinaryTraceReader,mem_trace_binary,mem_trace_binary.png,Reads memory traces saved as a binary file.
prospero,SubComponent,ProsperoCompressedBinaryTraceReader,mem_trace_compressed_binary,mem_trace_compressed_binary.png,Reads memory traces saved as a compressed binary file.
prospero,Component,prosperoCPU,mem_trace_cpu,mem_trace_cpu.png,Memory trace replay engine.
prospero,SubComponent,ProsperoTextTraceReader,mem_trace_textFile,mem_trace_textFile.png,Reads memory traces saved as a text file.
rtlcomponent,Component,Rtlmodel,RTL_component,RTL_component.png,
serrano,Component,Serrano,cgra,cgra.png,
serrano,SubComponent,SerranoBasicUnit,cgra_functional_unit,cgra_functional_unit.png,
serrano,SubComponent,SerranoIteratorUnit,cgra_iterator,cgra_iterator.png,
serrano,SubComponent,SerranoPrinterUnit,cgra_val_output,cgra_val_output.png,
shogun,SubComponent,ShogunNIC,nic,nic.png,
Thornhill,Component,MemoryHeap,heap,heap.png,
Thornhill,SubComponent,SingleThread,thread,thread.png,
vanadis,Component,core,cpu1,cpu1.png,
vanadis,SubComponent,VanadisBasicBranchUnit,branch_unit,branch_unit.png,
vanadis,SubComponent,VanadisBasicLoadStoreQueue,memory_load_store_queue,memory_load_store_queue.png,
vanadis,SubComponent,VanadisMIPSHandler,MIPS_handler,MIPS_handler.png,
vanadis,SubComponent,VanadisMPISDecoder,MIPS_decoder,MIPS_decoder.png,
vanadis,Component,VanadisNodeOS,operating_system,operating_system.png,
vanadis,SubComponent,VanadisRISCV64,RISC-V_decoder,RISC-V_decoder.png,
vanadis,SubComponent,VanadisRISCV64OSHandler,RISC-V_handler,RISC-V_handler.png,
vanadis,SubComponent,VanadisRoCCBasic,RoCC_accel,RoCC_accel.png,
vaultsim,Component,cpu,cpu1,cpu1.png,
vaultsim,Component,logicLayer,vaulted_mem_backend,vaulted_mem_backend.png,
vaultsim,Component,vaultsim,vaulted_mem_backend,vaulted_mem_backend.png,
zodiac,Component,ZodiacSiriusTraceReader,mpi_network_traffic_injector,mpi_network_traffic_injector.png,
